title,department,location,posting_date,remote,region,url
Enterprise Account Executive,Sales,Canada - Remote,2025-09-25T11:26:11.515+00:00,Yes,Not specified,https://jobs.ashbyhq.com/Sierra/91bbdfe5-830b-423f-9c7a-37bb96cd8c02
Security TPM,Compliance,"San Francisco, CA",2026-02-11T21:12:05.600+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/53a8fd83-3e58-41a4-b014-2da447db820b
"Software Engineer, Agent (New Grad)",Early Career,"New York, NY",2025-09-26T07:17:24.860+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/ce2ae656-714c-4a6c-a020-fe418f868075
Vendor Programs Lead,Operations,"San Francisco, CA",2025-11-03T22:36:45.919+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/5c1b3056-1c2f-453e-8ed1-0e742dc0051c
Communications Manager,Marketing & Communications,"San Francisco, CA",2026-01-20T23:32:48.935+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/980b339c-60b6-4473-bf4c-1d69557da9f2
Customer Marketer,Marketing & Communications,"San Francisco, CA",2025-10-03T19:44:17.050+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/40bae08a-8e1e-4f00-9762-ead3dc372b56
Business Development,Partnerships,"San Francisco, CA",2026-01-14T17:08:53.435+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/c7e3f330-6649-4c42-920d-eb267ebd6d16
"Software Engineer, Agent",Engineering,"Atlanta, GA",2025-10-07T00:18:57.607+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/8fc6420b-49c4-4710-9ba4-6e80ae6dffa3
"Product Manager, Agent Development",Product,"Atlanta, GA",2025-10-07T00:22:13.972+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/1ae278d7-523f-44d6-addc-0dce3be6b7e0
Sales Engineer,Sales,US - Remote,2025-10-07T16:31:57.543+00:00,Yes,Not specified,https://jobs.ashbyhq.com/Sierra/4041c6a4-ef36-4c93-872a-997d9c3cc034
Revenue Operations,Operations,"San Francisco, CA",2025-10-09T15:03:44.539+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/a38dd0d9-7019-460b-8958-3048a005a281
"Software Engineer, Agent",Engineering,Singapore,2025-11-03T20:51:05.836+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/43e6eda7-6e46-43e8-82a5-6e5035f063bb
"Software Engineer, Agent Data Platform",Engineering,"San Francisco, CA",2025-10-15T22:17:41.680+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/0c892d11-9f19-4b8d-9c2b-409346c52b7a
"Software Engineer, Agent ",Engineering,Toronto,2025-10-22T05:30:07.347+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/b964ef5a-ee0d-4fee-9ab9-b7b95e4d2e1a
