title,department,location,posting_date,remote,region,url
Senior/Lead Solution Engineer (PreSales) France (w/m/d)*,Not specified,Remotely in Europe ,2026-01-12T10:35:33-05:00,Yes,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4751245101
Senior/Lead Solution Engineer (PreSales) Italy (w/m/d)*,Not specified,Remotely in Europe ,2026-01-12T10:35:45-05:00,Yes,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4751249101
Senior/Lead Solution Engineer (PreSales) Spain (w/m/d)*,Not specified,Remotely in Europe ,2026-01-12T10:35:53-05:00,Yes,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4749704101
Senior/Lead Solution Engineer (PreSales) UK (w/m/d)*,Not specified,Dublin; London,2026-01-12T10:34:54-05:00,No,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4751668101
(Senior) Partner Solution Engineer - DACH (f/m/d)*,Not specified,Berlin Office; Munich Office; Remotely in Germany,2026-01-26T10:56:16-05:00,Yes,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4753042101
Senior Salesforce Administrator,Not specified,New York Office,2026-01-28T11:51:27-05:00,No,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4768794101
Senior Value Consultant - West / Central U.S,Not specified,Remotely in the USA,2026-01-21T15:19:35-05:00,Yes,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4751885101
Sr Enterprise Account Executive - Central U.S,Not specified,Remotely in the USA,2026-01-28T18:45:32-05:00,Yes,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4769276101
Sr Enterprise Account Executive - East U.S,Not specified,Remotely in the USA,2026-01-27T14:14:40-05:00,Yes,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4767968101
Sr Enterprise Account Executive - West U.S,Not specified,Remotely in the USA,2026-01-28T18:57:27-05:00,Yes,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4767913101
Staff Product Designer - Consumer Experience (f/m/d)*,Not specified,Berlin Office,2026-01-22T22:40:31-05:00,No,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4679089101
Staff Product Designer - Expert Experience (f/m/d)*,Not specified,Berlin Office,2026-01-22T22:41:16-05:00,No,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4716871101
Team Lead Forward Deployed Engineering (f/m/d),Not specified,Berlin Office,2026-01-08T15:02:55-05:00,No,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4749991101
Technical Project Manager – Agentic AI Deployments,Not specified,New York Office,2026-01-16T07:42:56-05:00,No,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4716094101
Working Student GSI & BPO Partnerships (f/m/d)*,Not specified,Berlin Office,2026-01-14T08:22:23-05:00,No,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4751844101
