title,department,location,posting_date,remote,region,url
Field Marketing Manager (Datagrid),Marketing,Austin,Not specified,No,Not specified,https://careers.procore.com/jobs/field-marketing-manager-datagrid-austin-texas-united-states-7d5cead3-1895-43ff-af64-40a6bbd8a359
Customer Support Representative,Customer Solutions,Heredia,Not specified,No,Not specified,https://careers.procore.com/jobs/customer-support-representative-heredia-heredia-province-costa-rica-3d776555-4480-436a-8231-df4098a394ca
"Solution Specialist, Data Center (Remote)",Sales,Austin,Not specified,Yes,Not specified,https://careers.procore.com/jobs/solution-specialist-data-center-remote-austin-texas-united-states
Software Engineering Manager,Engineering,Bengaluru,Not specified,No,Not specified,https://careers.procore.com/jobs/software-engineering-manager-bengaluru-karnataka-india-55368995-f0f0-4dad-9c99-b4786158d49b
Demand Generation Campaign Manager,Marketing,Austin,Not specified,No,Not specified,https://careers.procore.com/jobs/demand-generation-campaign-manager-austin-texas-united-states-50962ba5-12c2-48cb-9691-06ec1f7a8aaa
Staff Salesforce & Certinia Developer - Professional Services Automation,Information Technology,Austin,Not specified,No,Not specified,https://careers.procore.com/jobs/staff-salesforce-certinia-developer-professional-services-automation-austin-texas-united-states-e6bc1c5e-3ffd-4175-bb4e-8518dc503281
Strategic 1:1 Account-Based Marketing Manager,Marketing,US - Remote CA - Bay Area,Not specified,Yes,Not specified,https://careers.procore.com/jobs/strategic-1-1-account-based-marketing-manager-us-remote-ca-bay-area-california-united-states
"Director, Enterprise Account Management - Specialty Contractors (REMOTE)",Austin,Carpinteria,Not specified,Yes,Not specified,https://careers.procore.com/jobs/director-enterprise-account-management-specialty-contractors-remote-austin-texas-united-states-carpinteria-california
Senior GTM Solutions Program Manager,Business Operations,Austin,Not specified,No,Not specified,https://careers.procore.com/jobs/senior-gtm-solutions-program-manager-austin-texas-united-states
"Senior Director, Sales (Datagrid)",Sales,US - Remote CA - Bay Area,Not specified,Yes,Not specified,https://careers.procore.com/jobs/senior-director-sales-datagrid-us-remote-ca-bay-area-california-united-states
