title,department,openings,locations,all_locations,regions,remote_available
Business Strategy Manager - Manufacturing,Not specified,1,2 Locations,2 Locations,Not specified,No
Candidate Support Advisor - APAC,Not specified,1,APAC - India - Pune,APAC - India - Pune,Not specified,No
Change Management Specialist,Not specified,1,"Bengaluru, IND","Bengaluru, IND",Not specified,No
Channel Finance Analyst,Not specified,1,"Bengaluru, IND","Bengaluru, IND",Not specified,No
"Chief of Staff, Autodesk Education",Not specified,1,4 Locations,4 Locations,Not specified,No
"Chief of Staff, Autodesk Tandem",Not specified,1,4 Locations,4 Locations,Not specified,No
Commissions Analyst,Not specified,1,"Bengaluru, IND","Bengaluru, IND",Not specified,No
"Communications Business Partner, Design & Manufacturing",Not specified,1,2 Locations,2 Locations,Not specified,No
Competitive Intelligence Lead,Not specified,1,"Denver, CO, USA","Denver, CO, USA",Not specified,No
Competitive Intelligence Specialist,Not specified,1,"Vancouver, BC, CAN","Vancouver, BC, CAN",Not specified,No
"Corporate Counsel, Product",Not specified,1,5 Locations,5 Locations,Not specified,No
Credit Analyst,Not specified,1,"Bengaluru, IND","Bengaluru, IND",Not specified,No
Customer Success - Process Adoption Lead,Not specified,1,2 Locations,2 Locations,Not specified,No
Customer Success Advisor,Not specified,1,"Denver, CO, USA","Denver, CO, USA",Not specified,No
Customer Success Advisor -ASEAN,Not specified,1,Malaysia - Remote,Malaysia - Remote,Not specified,Yes
"Customer Success Advisor, D&M (DACH)",Not specified,1,"Barcelona, ESP","Barcelona, ESP",Not specified,No
Customer Success Manager - Benelux (Remote),Not specified,1,2 Locations,2 Locations,Not specified,Yes
"Customer Success Manager, Enterprise",Not specified,1,"Singapore, SGP","Singapore, SGP",Not specified,No
"Customer Success Manager, Midmarket Japan D&M(Evergreen)",Not specified,1,"Tokyo, JPN","Tokyo, JPN",Not specified,No
Data Security Engineering Manager,Not specified,1,"Pune, IND","Pune, IND",Not specified,No
Design System Software Architect - Remote,Not specified,1,"Novi, MI, USA","Novi, MI, USA",Not specified,Yes
Designer & Visual Storyteller (Canada / Remote),Not specified,1,2 Locations,2 Locations,Not specified,Yes
Digital Business Representative,Not specified,1,Costa Rica - Remote,Costa Rica - Remote,Not specified,Yes
"Digital Business Representative, APJ",Not specified,1,"APAC - Malaysia - Kuala Lumpur - Kuala Lumpur, Avenue 10","APAC - Malaysia - Kuala Lumpur - Kuala Lumpur, Avenue 10",Not specified,No
"Digital UX Designer, Enablement Platforms",Not specified,1,Costa Rica - Remote,Costa Rica - Remote,Not specified,Yes
"Director Business Strategy, Media & Entertainment",Not specified,1,5 Locations,5 Locations,Not specified,No
"Director of AI Research, Autodesk AI Lab, Model Alignment",Not specified,1,9 Locations,9 Locations,Not specified,No
Director of Marketing for Industrialized Construction,Not specified,1,2 Locations,2 Locations,Not specified,No
Director of Software Development - AI/ML,Not specified,1,"Vancouver, BC, CAN","Vancouver, BC, CAN",Not specified,No
"Director, AOS Finance",Not specified,1,"San Francisco, CA, USA","San Francisco, CA, USA",Not specified,No
"Director, Compensation Business Partner",Not specified,1,8 Locations,8 Locations,Not specified,No
"Director, Corporate Services and Responsible Sourcing",Not specified,1,3 Locations,3 Locations,Not specified,No
"Director, Fusion Sales Americas",Not specified,1,8 Locations,8 Locations,Not specified,No
"Director, Learning Architecture and Experience Design",Not specified,1,8 Locations,8 Locations,Not specified,No
"Director, Marketing Interlock Lead",Not specified,1,"California, USA - Remote","California, USA - Remote",Not specified,Yes
"Director, Software Development Autodesk Graphics Platform (AGP)",Not specified,1,4 Locations,4 Locations,Not specified,No
"Director, Technical Sales Lead",Not specified,1,"California, USA - Remote","California, USA - Remote",Not specified,Yes
Distinguished AI Architect - AEC Construction,Not specified,1,62 Locations,62 Locations,Not specified,No
Distinguished Engineer,Not specified,1,AMER - United States - Washington - Offsite/Home,AMER - United States - Washington - Offsite/Home,Not specified,No
"Distinguished Engineer, AI Transformation",Not specified,1,AMER - United States - California - San Francisco - One Market,AMER - United States - California - San Francisco - One Market,Not specified,No
"Distinguished Software Architect, Autodesk Water",Not specified,1,3 Locations,3 Locations,Not specified,No
Education Privacy Specialist,Not specified,1,5 Locations,5 Locations,Not specified,No
"Enablement Specialist, Tools & Process",Not specified,1,Costa Rica - Remote,Costa Rica - Remote,Not specified,Yes
"Engineering Manager (Java, AWS, React)",Not specified,1,"Pune, IND","Pune, IND",Not specified,No
Engineering Manager (ML),Not specified,1,"Bengaluru, IND","Bengaluru, IND",Not specified,No
Engineering Manager - Agentic AI Platform,Not specified,1,"Pune, IND","Pune, IND",Not specified,No
Engineering Manager – Developer Productivity & AI Systems (GET Engineering),Not specified,1,3 Locations,3 Locations,Not specified,No
"Engineering Manager, Platform & DevOps",Not specified,1,3 Locations,3 Locations,Not specified,No
Enterprise Account Executive,Not specified,1,"Seoul, KOR","Seoul, KOR",Not specified,No
Enterprise Technical Sales Executive – AECO UK,Not specified,1,EMEA - United Kingdom - London - Agar St,EMEA - United Kingdom - London - Agar St,Not specified,No
Executive Assistant,Not specified,1,4 Locations,4 Locations,Not specified,No
Executive Assistant & Internal Events Operations,Not specified,1,Norway - Oslo,Norway - Oslo,Not specified,No
"Executive Assistant, Technology Vendor Management",Not specified,1,"Singapore, SGP","Singapore, SGP",Not specified,No
Expansion Account Executive（アカウントエグゼクティブ）,Not specified,1,"Tokyo, JPN","Tokyo, JPN",Not specified,No
Expansion Account Representative,Not specified,1,"Denver, CO, USA","Denver, CO, USA",Not specified,No
"Experience Architect, Transportation (Canada / Remote)",Not specified,1,4 Locations,4 Locations,Not specified,Yes
Experience Design Architect,Not specified,1,4 Locations,4 Locations,Not specified,No
External Reporting Sr. Analyst,Not specified,1,8 Locations,8 Locations,Not specified,No
"FP&A Manager, CPF Spend Process Standardization",Not specified,1,"Bengaluru, IND","Bengaluru, IND",Not specified,No
